GENESIS-Tabelle: 12421-0002
Projected population figures: Germany, reference date,;;;;;;;;;;;;;;
variants of the population projection, sex, age years;;;;;;;;;;;;;;
Population projections;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;
Projected population figures (1000);;;;;;;;;;;;;;
;;;;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date
;;;;2022-12-31;2025-12-31;2030-12-31;2035-12-31;2040-12-31;2045-12-31;2050-12-31;2055-12-31;2060-12-31;2065-12-31;2070-12-31
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;40 years;541.8;539.0;575.0;495.5;485.2;441.7;444.4;464.5;462.5;444.7;434.2
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;45 years;501.0;545.7;543.7;578.0;498.6;488.5;445.2;448.0;468.2;466.3;448.6
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;50 years;523.0;479.0;546.9;543.9;578.0;499.3;489.4;446.5;449.3;469.6;467.8
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;55 years;671.1;586.9;475.8;542.8;540.1;574.3;496.6;487.0;444.6;447.7;468.0
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;60 years;666.9;676.5;576.6;467.9;534.4;532.2;566.4;490.2;481.1;439.6;442.9
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;65 years;561.4;620.4;656.2;560.3;455.4;521.0;519.7;553.9;479.9;471.6;431.4
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;70 years;495.5;510.2;591.1;627.3;536.9;437.4;501.6;501.4;535.5;464.8;457.6
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;75 years;381.1;452.0;472.6;550.2;586.2;503.6;411.5;473.6;474.9;508.8;442.7
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;80 years;353.2;261.0;398.1;419.2;491.1;526.4;454.6;373.4;431.9;435.2;468.3
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;85 years;312.8;357.9;203.5;314.6;335.1;396.9;429.8;374.8;310.6;362.6;368.4
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;90 years;124.5;167.5;211.1;122.9;194.5;211.7;256.1;282.8;251.3;212.0;251.7
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;95 years;41.5;45.6;59.7;78.7;47.7;78.7;89.0;111.7;127.8;117.4;102.2
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;100 years and over;16.9;16.3;19.4;25.6;39.4;34.8;45.6;59.3;78.3;101.5;109.0
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Female;Total;42676.2;42676.7;42513.8;42118.1;41630.2;41047.2;40368.1;39622.1;38891.2;38262.3;37720.9
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;under 1 year;752.0;757.6;740.3;703.9;682.8;686.2;693.3;683.5;663.1;642.2;625.3
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;5 years;829.6;808.2;773.0;751.6;714.7;693.6;697.1;704.2;694.5;674.1;653.3
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;10 years;773.5;823.3;823.0;784.0;762.2;725.3;704.2;707.7;714.9;705.1;684.8
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;15 years;774.8;786.3;838.2;834.0;794.4;772.6;735.8;714.8;718.3;725.4;715.7
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;20 years;821.5;802.5;821.0;864.2;859.4;820.0;798.3;761.5;740.5;744.1;751.2
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;25 years;996.6;938.4;851.1;856.9;898.3;893.7;854.4;832.7;796.0;775.1;778.7
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;30 years;1029.1;994.2;971.0;875.1;879.6;921.1;916.6;877.3;855.8;819.2;798.4
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;35 years;1136.3;1165.7;1013.0;984.6;888.3;892.8;934.4;930.0;891.0;869.5;833.0
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;40 years;1090.1;1089.2;1175.8;1020.2;991.7;895.9;900.6;942.3;938.1;899.3;878.0
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;45 years;1001.1;1086.4;1094.5;1178.3;1023.4;995.4;900.3;905.3;947.1;943.2;904.7
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;50 years;1043.3;952.6;1084.0;1090.9;1174.3;1021.3;993.9;899.9;905.3;947.2;943.7
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;55 years;1343.4;1168.1;940.9;1070.8;1078.4;1161.8;1011.4;985.2;892.8;898.8;940.9
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;60 years;1323.0;1346.6;1137.9;918.2;1046.7;1055.7;1138.8;992.7;968.2;878.4;885.2
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;65 years;1092.3;1208.1;1287.8;1091.7;883.0;1009.4;1020.2;1103.0;963.1;941.1;855.2
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;70 years;928.7;964.1;1127.9;1208.0;1028.0;834.3;957.2;970.5;1052.3;921.2;902.6
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;75 years;701.8;826.5;869.6;1023.7;1102.4;943.0;769.0;886.5;902.5;982.5;863.1
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;80 years;625.6;458.3;702.0;745.2;884.2;959.2;826.5;678.4;787.4;806.2;882.5
BEV-VARIANTE-01;Mod. birth rate a. life exp.,low mig.bal. (G2L2W1);Total;85 years;517.0;594.8;340.0;529.0;569.0;683.5;750.2;653.9;542.6;636.5;657.8
