GENESIS-Tabelle: 12421-0002
Projected population figures: Germany, reference date,;;;;;;;;;;;;;;
variants of the population projection, sex, age years;;;;;;;;;;;;;;
Population projections;;;;;;;;;;;;;;
Germany;;;;;;;;;;;;;;
Projected population figures (1000);;;;;;;;;;;;;;
;;;;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date;Reference date
;;;;2022-12-31;2025-12-31;2030-12-31;2035-12-31;2040-12-31;2045-12-31;2050-12-31;2055-12-31;2060-12-31;2065-12-31;2070-12-31
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Female;45 years;502.2;550.3;553.2;593.2;522.9;526.4;491.1;494.0;516.7;517.9;506.3
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Female;50 years;523.7;482.0;553.8;555.2;594.9;525.1;528.7;493.8;496.8;519.4;520.8
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Female;55 years;671.3;588.2;479.7;550.3;551.7;591.2;522.3;526.1;491.6;494.8;517.4
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Female;60 years;666.8;676.6;577.5;471.3;540.8;542.6;581.8;514.4;518.4;484.7;488.1
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Female;65 years;561.2;619.8;655.0;559.8;457.2;525.3;527.6;566.3;501.0;505.4;472.9
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Female;70 years;495.3;509.3;588.9;623.8;533.8;436.4;502.3;505.2;543.1;481.0;485.8
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Female;75 years;380.9;450.9;469.8;544.9;578.5;496.0;406.2;468.6;472.2;508.6;451.2
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Female;80 years;352.9;259.8;394.5;412.7;480.4;511.7;439.9;361.1;418.0;422.4;456.3
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Female;85 years;312.4;355.5;200.2;306.6;322.7;377.9;404.8;349.8;288.6;335.9;341.2
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Female;90 years;124.2;165.3;205.6;117.2;181.9;193.8;229.8;249.0;217.6;181.5;213.6
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Female;95 years;41.3;44.5;57.0;72.8;42.4;67.7;73.8;89.6;99.3;88.6;75.5
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Female;100 years and over;16.7;15.6;17.9;22.5;32.6;26.7;33.1;40.3;50.2;61.5;62.3
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Female;Total;42777.8;43032.0;43193.2;43081.9;42875.4;42565.7;42162.5;41716.2;41324.3;41060.1;40874.9
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;under 1 year;756.4;773.2;773.1;750.9;737.4;744.6;756.4;754.1;743.3;732.3;723.1
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;5 years;832.5;818.9;797.9;792.1;769.1;755.6;762.9;774.8;772.4;761.7;750.7
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;10 years;776.5;834.6;842.6;816.2;809.8;786.8;773.4;780.7;792.6;790.2;779.5
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;15 years;777.7;797.0;858.4;861.0;833.8;827.4;804.5;791.1;798.4;810.2;807.9
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;20 years;832.4;827.3;853.0;902.0;903.8;876.7;870.4;847.5;834.1;841.5;853.4
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;25 years;1005.2;969.4;905.0;912.8;959.4;961.3;934.3;928.0;905.3;892.0;899.4
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;30 years;1034.0;1014.8;1021.8;945.2;951.1;997.8;999.7;972.9;966.6;944.0;930.7
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;35 years;1139.6;1179.1;1045.6;1045.2;967.7;973.7;1020.5;1022.5;995.8;989.7;967.2
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;40 years;1092.5;1098.9;1197.2;1059.4;1058.4;981.4;987.6;1034.4;1036.7;1010.2;1004.3
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;45 years;1002.9;1093.9;1110.4;1204.5;1067.2;1066.6;990.2;996.6;1043.5;1046.0;1019.9
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;50 years;1044.2;957.2;1095.2;1109.5;1202.9;1067.1;1067.0;991.6;998.4;1045.3;1048.1
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;55 years;1343.6;1169.4;946.2;1082.0;1096.5;1189.4;1056.1;1056.6;982.7;989.9;1036.9
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;60 years;1322.6;1345.6;1137.7;921.7;1055.2;1070.5;1162.2;1032.9;1034.4;962.9;970.8
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;65 years;1091.6;1205.9;1283.5;1087.7;882.4;1012.4;1028.7;1118.7;995.4;998.4;930.5
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;70 years;928.1;961.5;1121.5;1198.1;1017.8;827.4;952.1;969.5;1056.8;942.0;946.9
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;75 years;701.2;823.6;862.8;1010.9;1083.7;923.6;753.0;869.5;887.9;970.6;867.2
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;80 years;624.9;455.7;694.4;731.4;861.0;926.9;793.4;649.4;753.3;772.0;847.0
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;85 years;516.2;590.1;333.8;514.0;545.5;646.7;701.0;604.3;497.9;581.6;599.7
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;90 years;186.2;252.4;319.4;183.1;286.4;308.1;370.2;406.4;355.0;296.2;350.4
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;95 years;55.2;60.7;80.6;104.8;61.5;98.8;109.0;134.0;150.6;134.6;114.9
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;100 years and over;20.4;18.6;22.3;28.8;42.4;34.8;43.7;53.4;67.4;83.2;84.5
BEV-VARIANTE-08;Small rise in life expectancy (G2L1W2);Total;Total;84228.6;84666.1;84952.9;84723.2;84289.2;83670.2;82923.3;82152.9;81522.0;81121.6;80831.4
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;under 1 year;388.1;396.8;396.9;385.6;378.8;382.7;388.9;387.8;382.4;376.9;372.3
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;5 years;427.3;421.2;409.3;406.6;394.9;388.2;392.0;398.2;397.2;391.8;386.3
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;10 years;399.5;429.4;433.5;418.8;415.7;404.1;397.4;401.3;407.5;406.4;401.0
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;15 years;401.0;410.3;442.0;443.2;428.2;425.1;413.6;406.8;410.7;416.9;415.9
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;20 years;427.6;426.9;439.5;464.7;465.5;450.6;447.6;436.0;429.3;433.2;439.5
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;25 years;524.6;499.9;464.0;468.1;492.2;493.1;478.2;475.3;463.8;457.2;461.1
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;30 years;532.4;525.1;524.0;482.6;485.8;510.0;511.0;496.2;493.3;481.9;475.3
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;35 years;582.3;603.7;537.9;533.7;492.0;495.4;519.6;520.7;506.0;503.2;491.9
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;40 years;549.3;554.2;610.1;542.8;538.6;497.2;500.7;525.1;526.3;511.7;509.0
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;45 years;500.7;543.8;557.6;612.0;545.1;541.2;500.3;504.0;528.5;529.9;515.5
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;50 years;520.6;475.5;542.0;555.3;609.5;543.7;540.4;500.1;504.1;528.7;530.4
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;55 years;672.4;581.8;467.5;533.5;547.4;601.7;537.5;534.8;495.5;500.0;524.8
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;60 years;656.0;670.3;562.3;453.1;518.7;533.5;587.9;526.1;524.4;486.7;491.8
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;65 years;530.6;587.8;632.2;533.1;431.2;495.9;512.1;566.3;508.2;508.0;472.4
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;70 years;433.1;454.3;537.5;583.1;494.8;402.4;465.6;483.3;537.2;483.9;485.6
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;75 years;320.6;375.2;398.5;477.0;522.5;447.1;366.3;427.1;446.4;499.4;452.3
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;80 years;272.5;197.8;306.2;330.4;401.3;445.3;385.4;319.0;376.0;396.6;447.7
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;85 years;204.4;238.6;138.1;219.6;242.3;300.6;340.1;299.5;251.9;301.6;322.9
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;90 years;62.3;89.8;120.1;72.3;119.6;136.8;175.4;204.8;185.7;160.5;197.3
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;95 years;14.1;17.1;25.7;36.7;23.4;41.1;49.6;67.0;82.0;77.8;70.2
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;100 years and over;3.7;3.2;4.9;7.7;13.1;12.1;17.6;24.1;34.8;48.5;54.3
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Male;Total;41464.3;41728.0;41955.0;41990.5;41956.7;41865.2;41736.6;41598.6;41512.8;41527.9;41600.8
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;under 1 year;368.4;376.7;376.8;366.1;359.6;363.2;369.1;368.1;363.0;357.7;353.4
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;5 years;405.2;397.7;389.0;386.3;375.2;368.7;372.4;378.3;377.3;372.1;366.9
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;10 years;377.0;405.3;409.2;397.9;394.9;383.8;377.3;381.0;386.9;385.9;380.8
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;15 years;376.8;386.8;416.4;417.8;406.2;403.1;392.1;385.7;389.3;395.2;394.2
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;20 years;404.8;400.5;413.6;437.5;438.5;426.9;423.9;412.9;406.4;410.1;416.0
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;25 years;480.6;469.6;441.1;444.9;467.6;468.7;457.1;454.1;443.1;436.7;440.4
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;30 years;501.7;489.8;498.0;462.9;465.8;488.4;489.5;478.0;475.0;464.0;457.7
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;35 years;557.3;575.5;508.0;511.9;476.3;479.2;501.9;503.1;491.5;488.6;477.7
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;40 years;543.2;544.9;587.5;517.2;520.7;485.3;488.3;511.0;512.3;500.8;498.0
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;45 years;502.2;550.4;553.4;593.6;523.4;527.1;491.9;494.9;517.7;519.1;507.7
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;50 years;523.7;482.2;554.2;555.8;595.9;526.3;530.1;495.3;498.5;521.4;522.9
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;55 years;671.3;588.5;480.3;551.4;553.3;593.5;524.8;529.0;494.6;498.1;521.1
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;60 years;666.9;677.2;578.7;473.0;543.7;546.2;586.5;519.2;523.9;490.3;494.1
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;65 years;561.3;620.8;657.3;563.1;461.1;531.3;534.8;575.3;510.0;515.3;482.8
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;70 years;495.4;510.5;592.1;629.7;541.2;444.4;513.7;518.5;559.2;496.7;502.9
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;75 years;381.1;452.6;474.0;553.5;591.9;511.1;421.5;489.3;495.8;536.6;478.1
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;80 years;353.2;261.5;400.4;423.6;499.1;538.1;468.0;388.3;453.8;462.5;503.3
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;85 years;313.0;359.7;205.5;320.9;345.1;412.7;451.2;397.3;333.5;394.1;405.7
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;90 years;124.7;169.3;215.9;127.5;205.8;227.9;280.2;314.3;283.3;243.1;293.3
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;95 years;41.6;46.5;62.1;84.4;52.6;89.8;104.6;134.8;158.0;148.3;132.2
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;100 years and over;17.0;16.9;20.7;28.7;46.8;44.0;60.7;83.2;115.3;156.2;175.7
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Female;Total;42791.4;43119.9;43396.5;43451.7;43451.1;43384.0;43234.5;43017.8;42805.3;42689.6;42674.1
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;under 1 year;756.5;773.5;773.7;751.7;738.5;745.9;758.0;755.8;745.3;734.6;725.6
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;5 years;832.5;818.9;798.3;792.8;770.1;756.9;764.4;776.5;774.4;763.9;753.2
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;10 years;776.5;834.7;842.7;816.7;810.6;787.9;774.7;782.3;794.4;792.3;781.8
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;15 years;777.7;797.1;858.4;861.1;834.3;828.3;805.6;792.5;800.0;812.1;810.1
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;20 years;832.4;827.4;853.1;902.2;904.1;877.4;871.5;848.9;835.8;843.3;855.5
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;25 years;1005.2;969.5;905.1;913.0;959.8;961.8;935.3;929.4;906.9;893.8;901.5
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;30 years;1034.0;1014.9;1022.0;945.5;951.6;998.4;1000.5;974.1;968.3;945.9;932.9
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;35 years;1139.7;1179.2;1045.9;1045.6;968.3;974.6;1021.5;1023.8;997.5;991.8;969.6
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;40 years;1092.5;1099.1;1197.6;1060.0;1059.3;982.5;989.0;1036.1;1038.5;1012.5;1007.0
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;45 years;1002.9;1094.2;1111.0;1205.5;1068.5;1068.3;992.2;998.9;1046.2;1048.9;1023.3
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;50 years;1044.3;957.7;1096.2;1111.1;1205.4;1070.0;1070.5;995.3;1002.6;1050.1;1053.3
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;55 years;1343.7;1170.3;947.8;1084.9;1100.7;1195.2;1062.3;1063.8;990.1;998.1;1046.0
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;60 years;1322.9;1347.5;1140.9;926.1;1062.4;1079.8;1174.4;1045.4;1048.3;976.9;985.9
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;65 years;1091.9;1208.6;1289.4;1096.2;892.4;1027.2;1046.9;1141.6;1018.2;1023.2;955.2
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;70 years;928.6;964.8;1129.6;1212.8;1036.0;846.8;979.3;1001.8;1096.3;980.6;988.5
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;75 years;701.7;827.7;872.4;1030.4;1114.4;958.2;787.8;916.5;942.2;1036.0;930.4
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;80 years;625.7;459.3;706.6;754.0;900.4;983.4;853.4;707.4;829.8;859.1;951.0
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;85 years;517.4;598.3;343.6;540.5;587.4;713.3;791.2;696.8;585.4;695.7;728.6
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;90 years;187.1;259.1;336.0;199.8;325.3;364.6;455.6;519.1;469.0;403.6;490.6
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;95 years;55.7;63.6;87.8;121.1;76.1;130.9;154.2;201.8;240.0;226.1;202.4
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;100 years and over;20.7;20.1;25.6;36.4;59.9;56.1;78.3;107.3;150.1;204.8;230.0
BEV-VARIANTE-09;Strong rise in life expectancy (G2L3W2);Total;Total;84255.7;84847.9;85351.6;85442.2;85407.8;85249.3;84971.1;84616.4;84318.1;84217.5;84274.9
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;under 1 year;381.3;375.4;355.1;335.4;325.1;326.2;328.0;319.2;303.4;289.3;279.9
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;5 years;425.7;415.5;382.9;360.6;340.7;330.4;331.6;333.3;324.6;308.8;294.7
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;10 years;397.8;423.2;422.9;388.5;365.9;346.0;335.8;336.9;338.7;329.9;314.2
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;15 years;399.2;404.3;430.9;428.6;393.9;371.4;351.4;341.2;342.4;344.1;335.4
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;20 years;422.7;413.5;421.9;444.0;441.4;406.7;384.3;364.4;354.2;355.4;357.2
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;25 years;520.6;484.7;436.0;438.4;459.7;457.2;422.6;400.2;380.4;370.3;371.5
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;30 years;530.2;515.4;499.2;446.5;448.4;469.7;467.2;432.8;410.5;390.7;380.6
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;35 years;580.9;597.9;522.7;504.3;451.5;453.5;474.8;472.4;438.1;415.9;396.2
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;40 years;548.3;550.2;600.7;524.6;506.2;453.8;455.9;477.3;475.0;440.9;418.8
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;45 years;500.1;540.6;550.7;600.0;524.4;506.4;454.5;456.7;478.2;476.0;442.2
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;50 years;520.2;473.5;536.9;546.5;595.5;521.1;503.5;452.3;454.7;476.3;474.4
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;55 years;672.3;580.8;464.6;527.0;537.0;585.7;512.9;496.1;446.0;448.7;470.3
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;60 years;656.0;669.4;560.3;448.9;510.1;520.6;568.6;498.6;482.8;434.6;437.7
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;65 years;530.8;586.9;629.8;528.7;424.6;483.8;494.9;541.9;476.1;462.0;416.5
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;70 years;433.1;452.9;534.3;576.3;485.5;391.1;447.5;459.3;504.6;444.6;432.6
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;75 years;320.5;373.3;394.2;468.0;507.4;429.4;347.4;399.3;411.7;454.2;401.7
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;80 years;272.2;196.4;300.7;320.1;382.6;417.5;355.5;289.2;334.4;346.7;384.7
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;85 years;203.9;234.9;134.3;208.3;224.0;270.6;298.1;256.2;210.3;245.4;256.6
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;90 years;62.1;87.2;114.1;66.4;105.1;115.0;141.4;158.5;138.4;115.4;136.8
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;95 years;14.0;16.3;23.7;32.1;19.2;31.4;35.4;44.8;51.7;46.4;39.7
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;100 years and over;3.7;3.0;4.4;6.4;9.9;8.2;10.7;13.2;17.3;22.0;22.4
BEV-VARIANTE-10;Population minimum (G1L1W1);Male;Total;41352.6;41242.5;40894.8;40286.7;39553.6;38726.3;37849.9;36968.4;36134.6;35370.2;34624.6
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;under 1 year;362.0;356.5;337.2;318.4;308.7;309.7;311.4;303.0;288.0;274.6;265.7
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;5 years;403.9;392.7;364.3;342.9;323.9;314.2;315.2;316.9;308.6;293.6;280.2
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;10 years;375.7;400.1;400.1;369.8;348.1;329.1;319.4;320.5;322.1;313.8;298.9
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;15 years;375.5;382.0;407.2;405.3;374.8;353.2;334.2;324.5;325.6;327.2;318.9
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;20 years;398.8;389.0;399.1;420.1;417.9;387.4;365.8;346.9;337.2;338.2;339.9
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;25 years;476.0;453.6;415.1;418.4;438.4;436.3;405.8;384.2;365.3;355.6;356.7
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;30 years;498.9;478.7;471.8;428.5;431.0;451.0;448.9;418.5;397.0;378.1;368.4
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;35 years;555.4;567.8;490.2;480.1;436.4;439.0;459.0;457.0;426.6;405.1;386.2
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;40 years;541.8;538.9;574.9;495.4;485.1;441.5;444.1;464.2;462.2;431.9;410.5
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;45 years;501.0;545.6;543.6;577.8;498.4;488.2;444.9;447.5;467.6;465.7;435.5
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;50 years;523.0;478.9;546.7;543.5;577.5;498.7;488.7;445.8;448.5;468.6;466.8
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;55 years;671.1;586.8;475.5;542.3;539.3;573.1;495.3;485.6;443.2;446.1;466.1
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;60 years;666.9;676.2;575.9;467.1;532.9;530.3;564.0;487.7;478.4;436.9;439.9
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;65 years;561.3;619.9;655.0;558.6;453.4;517.9;515.9;549.2;475.3;466.6;426.4
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;70 years;495.5;509.6;589.5;624.2;533.1;433.2;495.7;494.5;527.1;456.7;448.9
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;75 years;381.0;451.2;470.5;545.9;579.3;495.7;403.6;462.8;462.5;494.0;428.7
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;80 years;353.0;260.2;395.1;413.6;481.5;512.7;440.0;359.1;413.1;414.0;443.5
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;85 years;312.5;355.8;200.8;307.3;323.7;379.0;405.9;350.1;287.3;332.2;334.7
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;90 years;124.3;165.5;206.0;117.7;182.5;194.6;230.7;249.9;218.0;180.8;211.4
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;95 years;41.3;44.6;57.2;73.0;42.7;68.0;74.2;90.0;99.7;88.9;75.3
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;100 years and over;16.7;15.7;18.0;22.7;32.7;26.9;33.3;40.6;50.6;61.8;62.6
BEV-VARIANTE-10;Population minimum (G1L1W1);Female;Total;42665.2;42599.9;42281.5;41679.2;40968.0;40142.6;39210.1;38211.3;37232.0;36349.3;35535.5
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;under 1 year;743.4;731.9;692.2;653.8;633.8;636.0;639.3;622.2;591.4;563.9;545.5
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;5 years;829.6;808.1;747.2;703.5;664.5;644.6;646.8;650.2;633.1;602.4;574.9
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;10 years;773.5;823.3;823.0;758.2;714.1;675.1;655.2;657.4;660.8;643.7;613.0
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;15 years;774.8;786.3;838.1;833.9;768.6;724.5;685.6;665.7;667.9;671.3;654.3
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;20 years;821.5;802.4;821.0;864.1;859.3;794.1;750.1;711.2;691.4;693.6;697.1
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;25 years;996.6;938.3;851.1;856.7;898.1;893.4;828.4;784.5;745.7;725.9;728.2
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;30 years;1029.1;994.1;970.9;875.0;879.3;920.7;916.1;851.2;807.4;768.7;749.0
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;35 years;1136.3;1165.7;1012.9;984.4;888.0;892.4;933.9;929.4;864.7;821.0;782.5
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;40 years;1090.1;1089.1;1175.6;1020.0;991.3;895.3;900.0;941.5;937.2;872.8;829.3
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;45 years;1001.1;1086.3;1094.2;1177.8;1022.8;994.6;899.3;904.2;945.8;941.7;877.7
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;50 years;1043.2;952.4;1083.5;1090.1;1173.1;1019.8;992.2;898.1;903.2;944.9;941.2
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;55 years;1343.4;1167.6;940.1;1069.3;1076.3;1158.8;1008.3;981.7;889.2;894.8;936.4
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;60 years;1322.9;1345.6;1136.2;916.0;1043.1;1050.9;1132.6;986.3;961.2;871.4;877.6
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;65 years;1092.1;1206.8;1284.9;1087.3;878.0;1001.8;1010.9;1091.1;951.4;928.6;842.9
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;70 years;928.5;962.5;1123.8;1200.5;1018.6;824.3;943.1;953.8;1031.8;901.3;881.5
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;75 years;701.5;824.4;864.7;1013.8;1086.7;925.2;751.0;862.1;874.2;948.3;830.4
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;80 years;625.3;456.5;695.9;733.7;864.1;930.1;795.4;648.3;747.5;760.7;828.1
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;85 years;516.4;590.7;335.1;515.6;547.7;649.6;704.0;606.3;497.5;577.6;591.3
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;90 years;186.3;252.8;320.1;184.1;287.6;309.6;372.1;408.4;356.4;296.2;348.2
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;95 years;55.3;60.9;80.9;105.1;62.0;99.4;109.6;134.8;151.4;135.3;115.0
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;100 years and over;20.4;18.6;22.4;29.0;42.6;35.1;44.1;53.8;67.9;83.8;85.0
BEV-VARIANTE-10;Population minimum (G1L1W1);Total;Total;84017.8;83842.4;83176.3;81965.9;80521.6;78868.9;77060.0;75179.7;73366.6;71719.5;70160.1
